#
# File created on Mon Dec 29 07:48:51 UTC 2025
#

Startpoint,Endpoint,DelayType,Slack,#Levels,#LUTs
flt_inst/mem_gen[2].data_buf/mem_r_reg/CLKBWRCLK,flt_inst/v_mult_reg[2]/A[22],max,1.076,2,2
flt_inst/mem_gen[2].data_buf/mem_r_reg/CLKBWRCLK,flt_inst/v_mult_reg[1]/A[21],max,1.109,2,2
flt_inst/mem_gen[2].data_buf/mem_r_reg/CLKBWRCLK,flt_inst/v_mult_reg[3]/A[18],max,1.150,2,2
flt_inst/mem_gen[3].data_buf/mem_r_reg/CLKBWRCLK,flt_inst/v_mult_reg[1]/A[16],max,1.175,2,2
flt_inst/mem_gen[2].data_buf/mem_r_reg/CLKBWRCLK,flt_inst/v_mult_reg[2]/A[20],max,1.198,2,2
flt_inst/mem_gen[3].data_buf/mem_r_reg/CLKBWRCLK,flt_inst/v_mult_reg[0]/A[23],max,1.200,2,2
flt_inst/mem_gen[0].data_buf/mem_r_reg/CLKBWRCLK,flt_inst/v_mult_reg[0]/A[22],max,1.224,2,2
flt_inst/mem_gen[1].data_buf/mem_r_reg/CLKBWRCLK,flt_inst/v_mult_reg[2]/A[16],max,1.255,2,2
flt_inst/mem_gen[2].data_buf/mem_r_reg/CLKBWRCLK,flt_inst/v_mult_reg[1]/A[19],max,1.260,2,2
flt_inst/mem_gen[2].data_buf/mem_r_reg/CLKBWRCLK,flt_inst/v_mult_reg[0]/A[21],max,1.274,2,2
flt_inst/mem_gen[2].data_buf/mem_r_reg/CLKBWRCLK,flt_inst/v_mult_reg[0]/A[20],max,1.286,2,2
flt_inst/mem_gen[2].data_buf/mem_r_reg/CLKBWRCLK,flt_inst/v_mult_reg[2]/A[18],max,1.297,2,2
flt_inst/mem_gen[3].data_buf/mem_r_reg/CLKBWRCLK,flt_inst/v_mult_reg[4]/A[19],max,1.301,2,2
flt_inst/mem_gen[1].data_buf/mem_r_reg/CLKBWRCLK,flt_inst/v_mult_reg[1]/A[22],max,1.312,2,2
