#
# File created on Mon Dec 29 07:48:13 UTC 2025
#

Startpoint,Endpoint,DelayType,Slack,#Levels,#LUTs
flt_inst/mem_gen[0].data_buf/mem_r_reg/CLKBWRCLK,flt_inst/v_mult_reg[0]/A[16],max,1.427,2,2
flt_inst/mem_gen[0].data_buf/mem_r_reg/CLKBWRCLK,flt_inst/v_mult_reg[0]/A[17],max,1.427,2,2
flt_inst/mem_gen[0].data_buf/mem_r_reg/CLKBWRCLK,flt_inst/v_mult_reg[0]/A[18],max,1.427,2,2
flt_inst/mem_gen[0].data_buf/mem_r_reg/CLKBWRCLK,flt_inst/v_mult_reg[0]/A[19],max,1.427,2,2
flt_inst/mem_gen[0].data_buf/mem_r_reg/CLKBWRCLK,flt_inst/v_mult_reg[0]/A[20],max,1.427,2,2
flt_inst/mem_gen[0].data_buf/mem_r_reg/CLKBWRCLK,flt_inst/v_mult_reg[0]/A[21],max,1.427,2,2
flt_inst/mem_gen[0].data_buf/mem_r_reg/CLKBWRCLK,flt_inst/v_mult_reg[0]/A[22],max,1.427,2,2
flt_inst/mem_gen[0].data_buf/mem_r_reg/CLKBWRCLK,flt_inst/v_mult_reg[0]/A[23],max,1.427,2,2
flt_inst/mem_gen[0].data_buf/mem_r_reg/CLKBWRCLK,flt_inst/v_mult_reg[1]/A[16],max,1.427,2,2
flt_inst/mem_gen[0].data_buf/mem_r_reg/CLKBWRCLK,flt_inst/v_mult_reg[1]/A[17],max,1.427,2,2
flt_inst/mem_gen[0].data_buf/mem_r_reg/CLKBWRCLK,flt_inst/v_mult_reg[1]/A[18],max,1.427,2,2
flt_inst/mem_gen[0].data_buf/mem_r_reg/CLKBWRCLK,flt_inst/v_mult_reg[1]/A[19],max,1.427,2,2
flt_inst/mem_gen[0].data_buf/mem_r_reg/CLKBWRCLK,flt_inst/v_mult_reg[1]/A[20],max,1.427,2,2
flt_inst/mem_gen[0].data_buf/mem_r_reg/CLKBWRCLK,flt_inst/v_mult_reg[1]/A[21],max,1.427,2,2
flt_inst/mem_gen[0].data_buf/mem_r_reg/CLKBWRCLK,flt_inst/v_mult_reg[1]/A[22],max,1.427,2,2
